Cleanup Name,Location Address,City Name,State Code,Postal Code,County Name,EPA ID,Brownfields Link CSV,RCRA CSV,Superfund Link CSV,ECHO Link CSV,Response Link CSV,RE-Powering CSV,FRS Link CSV,Map Site CSV,Latitude,Longitude
PETROLEUM PRODUCTS CORP.,14000 BLOCK PEMBROKE ROAD,PEMBROKE PARK,FL,33024,BROWARD,FLD980798698,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0400919,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:81245,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009281767,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:25.9926 -80.1696,25.9926,-80.1696
ORANGE COUNTY NORTH BASIN,1012 EAST ELM AVENUE,ORANGE COUNTY,CA,92831,ORANGE,CAN000900251,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0900251,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:82505,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110067353009,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:33.854828 -117.930589,33.854828,-117.930589
BONITA PEAK MINING DISTRICT,MULTIPLE SOURCES NEAR ANIMAS RIVER HEADWATERS,UNINCORPORATED,CO,81433,SAN JUAN,CON000802497,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0802497,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:82144,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110070058573,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:37.904037 -107.61663,37.904037,-107.61663
L.A. CLARKE & SON,ROUTE 608,SPOTSYLVANIA,VA,22553,SPOTSYLVANIA,VAD007972482,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0302542,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:80908,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009315561,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:38.236111 -77.4325,38.236111,-77.4325
DES MOINES TCE,SEC 8 & 9 T78N R24W,DES MOINES,IA,50309,POLK,IAD980687933,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0700316,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:81972,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009279315,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.5781 -93.636,41.5781,-93.636
"U.S. SMELTER AND LEAD REFINERY, INC.",5300 KENNEDY AVE,EAST CHICAGO,IN,46312,LAKE,IND047030226,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0501433,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:81685,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009284489,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:41.616758 -87.464046,41.616758,-87.464046
OLIN CHEMICAL SITE,51 EAMES ST,WILMINGTON,MA,1887,MIDDLESEX,MAD001403104,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0100438,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:80421,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110000759796,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:42.528056 -71.153889,42.528056,-71.153889
MOHAWK TANNERY,FAIRMONT STREET,NASHUA,NH,3060,HILLS,NHD981889629,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0101188,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:80405,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110007683006,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:42.765569 -71.487778,42.765569,-71.487778
PORTLAND HARBOR,BETWEEN RM 3.5 & 9.2 IN PORTLAND HARBOR,PORTLAND,OR,97231,MULTNOMAH,ORSFN1002155,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1002155,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:82751,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009306526,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:45.615278 -122.793056,45.615278,-122.793056
SILVER BOW CREEK/BUTTE AREA,BUTTE TO MILLTOWN RESERVIOR,BUTTE,MT,59750,SILVER BOW,MTD980502777,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0800416,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:82275,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110009339778,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:46.002307 -112.61698,46.002307,-112.61698
ANACONDA CO. SMELTER,E OF ANACONDA  NPL SITE,ANACONDA,MT,59711,DEER LODGE,MTD093291656,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0800403,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:82130,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110008460655,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:46.133576 -112.845493,46.133576,-112.845493
QUENDALL TERMINALS,4503 LAKE WASHINGTON BOULEVARD NORTH,RENTON,WA,98055,KING,WAD980639215,,,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=1000875,,,https://ofmpub.epa.gov/apex/cimc/f?p=CIMC:REPOWER:::::P6_REFERENCE:82754,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110005326520,https://ofmpub.epa.gov/apex/cimcf?p=CIMC:MAP:::::P71_GEOSEARCH:47.533333 -122.2,47.533333,-122.2
